,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description
53175,2010-06-30 01:00:00,5/15/2013,2010,6,1,Summer,USA,United States,California,Garberville,40.1002778,-123.7938889,,60.0,1 minute,((HOAX??))  Saw ALIENS WALK THROUGH A PORTAL&#33&#33
53197,2011-06-30 17:00:00,7/6/2011,2011,6,17,Summer,USA,United States,Kentucky,Richmond,37.7477778,-84.2947222,Cigar,1200.0,20 min,UFO spotted in Richmond&#44Ky near The Bluegrass Army Depot..??Is this Aliens or Government cover up
53307,2001-06-03 20:00:00,8/16/2002,2001,6,20,Summer,AUS,Australia,Victoria,Melbourne,-37.813938,144.963425,Cone,60.0,1minute,3 Reports UFO sightings including news 7 newsreport video http://www.starcomone.com/aliens/ for video and info
53517,2010-06-04 02:00:00,7/6/2010,2010,6,2,Summer,USA,United States,Maryland,Brookwood Estates,38.7741667,-76.0766667,Teardrop,600.0,10 min,Discolored grass after thought to be Alien encounter.  ((NUFORC Note:  We cannot certify that this is a serious report.  PD))
53542,2012-06-04 16:00:00,8/30/2013,2012,6,16,Summer,USA,United States,Texas,Dallas,32.7833333,-96.8,Egg,86400.0,1 day,I found 2 small orange pods with alien like organisms &#44 curdle up in the fetal position&#44 growing inside then.
53650,2005-06-05 21:00:00,6/20/2005,2005,6,21,Summer,USA,United States,Washington,Seattle,47.678174,-122.337143,Triangle,30.0,20 to 30 sec.,ALIENS AND U.F.O.S SIGHTED NEAR HOME.
53692,2009-06-05 00:00:00,7/19/2010,2009,6,0,Summer,USA,United States,California,Santa Ana,33.7455556,-117.8669444,Unknown,3600.0,1 hr,((HOAX??))  Grey Alien Being
53828,1998-06-06 21:30:00,5/15/2006,1998,6,21,Summer,USA,United States,Florida,Tampa,27.9472222,-82.4586111,Light,25.0,25 seconds,5 G light&#44 only alien&#44 or they figured out how to reverse gravity&#44 or the sense of.
53902,2006-06-06 11:58:00,7/16/2006,2006,6,11,Summer,USA,United States,Florida,Miami,25.7738889,-80.1938889,Circle,120.0,2 minutes,I never used to belive in aliens but now I do.
53935,2008-06-06 16:00:00,6/12/2008,2008,6,16,Summer,USA,United States,California,Sacramento,38.5816667,-121.4933333,Disk,60.0,one minute,Alien probe/craft sighted above rolling hills in California
54007,2013-06-06 03:30:00,12/5/2013,2013,6,3,Summer,USA,United States,Pennsylvania,Slippery Rock,41.0638889,-80.0566667,Light,240.0,4 minutes,Bright light flashes me followe next day by weird creatures coming out of my mirror.
54219,1982-06-08 18:30:00,11/16/2002,1982,6,18,Summer,USA,United States,Massachusetts,Dennis Port,41.658445,-70.128629,Disk,300.0,1/5 minutes,Kite flying and Alien interest?
54449,2002-06-09 20:12:00,6/13/2002,2002,6,20,Summer,LKA,Sri Lanka,North Central Province,Polonnaruwa,7.932636,81.003682,Fireball,1800.0,30min,aliens in srilanka
54450,2002-06-09 20:12:00,6/12/2002,2002,6,20,Summer,LKA,Sri Lanka,North Central Province,Polonnaruwa,7.932636,81.003682,Fireball,1920.0,32min,2 people went for bath to nearby rever. ufo appeared with thundering sound. then it landed 2 two feet aliens came out. very soon it des
54488,2006-06-09 23:46:00,7/16/2006,2006,6,23,Summer,USA,United States,New York,New York,40.7141667,-74.0063889,Sphere,12.0,12 seconds,Ok I usually am very sceptical when it comes to appearances of apparitions&#44 imaginary susperstitions&#44 aliens&#44 ufo&#39s and things of that
54779,2009-07-10 10:30:00,8/5/2009,2009,7,10,Summer,USA,United States,Arizona,Tonopah,33.4936111,-112.9363889,Triangle,1800.0,30 minutes,((HOAX??))  &quot;WE ARE NOT ALONE&quot; ALIEN CONTACT&#44 AND CONVERSATION July10&#44 2009&#33
54806,2010-07-10 22:00:00,11/21/2010,2010,7,22,Summer,USA,United States,Idaho,Moore,43.7358333,-113.3655556,Light,3600.0,1 hr.,ALIEN LANDING OF UNKNOW ORIGIN TO GO ALONG WITH STRANGE BEHAVIOR OF WILD ANIMALS AND PEOPLE IN THE AREA  500 Lights On Object0: Yes
55122,1959-07-01 01:00:00,2/1/2007,1959,7,1,Summer,USA,United States,California,Strathmore,36.1455556,-119.0597222,Disk,240.0,4 minutes,the gathering of static electricity from atmosphere by ufo alien or USA craft  possible unmaned
55412,2000-07-01 04:00:00,3/4/2008,2000,7,4,Summer,USA,United States,Tennessee,Bartlett,35.214802,-89.876992,Light,1200.0,hours,orange light getting closer by the hour; 2 aliens seen by my own eyes. 500 Lights On Object0: Yes
55506,2007-07-01 14:00:00,10/8/2007,2007,7,14,Summer,USA,United States,Arizona,Mesa,33.4222222,-111.8219444,,3600.0,60 min.,Groups Medical Aliens do Healing on humans&#44 animals&#44 plants...
55514,2007-07-01 23:00:00,10/19/2011,2007,7,23,Summer,USA,United States,Connecticut,North Grosvenordale,41.985653,-71.898683,Unknown,60.0,1 minute,Witnessed two aliens walking along baseball field fence.
55560,2010-07-01 22:45:00,7/6/2010,2010,7,22,Summer,USA,United States,South Carolina,Kanawha Hills,35.0072222,-80.9452778,Fireball,300.0,5 minutes,Five fireballs fying slowly across the Fort Mil&#44 SC&#44 sky at night; sighting of a possible alien.  (NUFORC Note:  Serious report?? PD))
55751,2004-07-12 23:00:00,5/24/2005,2004,7,23,Summer,USA,United States,New York,New York,40.7141667,-74.0063889,Oval,7200.0,1-2 hours,Mind Controlled by Aliens
56199,1987-07-14 01:30:00,1/31/2011,1987,7,1,Summer,USA,United States,California,Sacramento,38.5816667,-121.4933333,Other,60.0,30-60 seconds,grey alien was seen in Sacramento in july&#44 14th.
56210,1997-07-14 00:00:00,1/28/1999,1997,7,0,Summer,USA,United States,California,Hayward,37.6688889,-122.0797222,Fireball,36.0,3/5min.  others??,I observed several types of crafts over this period of time and many were daylight sightings.Also may have seen entity(e.t).
56549,1969-07-15 23:00:00,2/14/2008,1969,7,23,Summer,USA,United States,Washington,Burlington,48.4758333,-122.3241667,Other,30.0,30 seconds,I was returning home after seeing my girl friend&#44 trveling along a rural road between two corn fields a creature apprximatly 3 feet tal
57346,2005-07-16 11:30:00,4/27/2007,2005,7,11,Summer,USA,United States,Texas,Benbrook,32.6730556,-97.4602778,Light,300.0,3-5 minutes,Alien encounter after UFO.
57368,2006-07-16 22:00:00,10/30/2006,2006,7,22,Summer,USA,United States,Illinois,Villa Park,41.8897222,-87.9888889,Light,1380.0,23 minutes,I believe I was abducted by Aliens
57658,2011-07-17 01:00:00,8/7/2011,2011,7,1,Summer,USA,United States,Ohio,Findlay,41.0441667,-83.65,Unknown,259200.0,3 days still happening,((HOAX??))  Aliens live in are yard.  ((NUFORC Note:  We are unconvinced that this is a serious report.  PD))
57977,1985-07-19 22:30:00,10/27/2004,1985,7,22,Summer,USA,United States,Washington,Copalis Beach,47.1127778,-124.1725,Disk,5400.0,1.5 hrs,I was visited by at least five alien men in 1985
59571,1984-07-25 12:00:00,7/25/2004,1984,7,12,Summer,USA,United States,New Jersey,Jackson Township,40.058324,-74.405661,Unknown,300.0,5 minutes,Third Party Witness to Creature
59597,1999-07-25 20:00:00,8/5/2001,1999,7,20,Summer,BRA,Brazil,Rio Grande do Sul,Caiçara,-27.279605,-53.426186,Circle,900.0,15 minutes,We watched the craft and an alien for 15 minutes.
60418,2008-07-28 04:00:00,10/31/2008,2008,7,4,Summer,USA,United States,Michigan,Oakland County,42.7919444,-83.6277778,Other,5.0,4-5 seconds,The Holly Michigan Chupacabra re-appears to witness; creature seen hopping northward in a expressway ditch.
60457,2011-07-28 22:38:00,8/7/2011,2011,7,22,Summer,USA,United States,Texas,Plano,33.0197222,-96.6986111,Unknown,4.0,4 seconds,Bright white light&#44&#44 aliens&#44 phenomena
61615,1996-07-04 19:35:00,2/18/2001,1996,7,19,Summer,USA,United States,Arkansas,Fayetteville,36.0625,-94.1572222,Changing,5280.0,88 minutes,A short but sure encounter with three alien craft and tall&#44 hairy beings&#44 with keen sensory peception.
61711,2000-07-04 21:00:00,7/16/2006,2000,7,21,Summer,USA,United States,Oregon,Pacific City,45.2025,-123.9616667,Light,10.0,5-10seconds,I&#39m sure I saw a real alien aircraft&#33
62339,2011-07-04 22:00:00,7/17/2011,2011,7,22,Summer,USA,United States,Indiana,Muncie,40.1933333,-85.3863889,Light,240.0,4 min, ((HOAX??))  4th  of July ufo and a image of a ghostly alien face very disturbing.
62782,1990-07-05 17:00:00,4/12/2013,1990,7,17,Summer,USA,United States,Michigan,Sawyer,41.8852778,-86.5894444,Disk,180.0,3 minutes,Alien Tests Soil.
62912,2008-07-05 04:41:00,8/12/2008,2008,7,4,Summer,USA,United States,Michigan,Oakland County,42.7919444,-83.6277778,Other,10.0,8-10 seconds,Strange Grey Chupacabra Creature Spotted in Holly Michigan
63371,1985-07-07 23:30:00,6/18/2003,1985,7,23,Summer,USA,United States,California,South Wawona,37.542448,-119.64454,Egg,7200.0,2 hours,Close Encounter With Aliens and a UFO
63393,1997-07-07 23:00:00,1/31/2011,1997,7,23,Summer,USA,United States,Michigan,Coopersville,43.0638889,-85.9347222,Unknown,64800.0,18 hrs,Fireball impact &#44 intelligent colorful lights&#44 orbs&#44 invisible crafts &#44 mind-control&#44 odd animal behavior&#44 alien body
63567,2009-07-07 21:30:00,12/12/2009,2009,7,21,Summer,USA,United States,Wisconsin,Milwaukee,43.0388889,-87.9063889,Other,300.0,5 minutes,Seen Three aliens three different times outside my window within 2 weeks
63896,1995-07-09 23:00:00,11/2/1999,1995,7,23,Summer,USA,United States,Missouri,Versailles,38.4313889,-92.8408333,,18000.0,5 hrs.,Multiple witnesses observe huge triangular ship&#44 surrounded by four disc-shaped ships&#44 w/ up to 50 bizarre creatures underneath&#33
63897,1995-07-09 23:00:00,11/2/1999,1995,7,23,Summer,USA,United States,Missouri,Versailles,38.4313889,-92.8408333,,18000.0,5 hrs.,USAF officer relays report re 5 bizarre ships seen hovering over field w/ strange creatures underneath.
64110,1962-08-10 15:00:00,4/16/2005,1962,8,15,Summer,USA,United States,Kansas,Wellington,37.2652778,-97.3713889,Unknown,2400.0,30-40 min.,An early 1960&#39s encounter with  possible alien occupants  near Wellington&#44 Ks
64347,2010-08-10 00:00:00,3/10/2011,2010,8,0,Summer,USA,United States,New York,Minoa,43.0761111,-76.0011111,Other,20.0,20 seconds,unidentified flaming creature falling from the sky in Minoa&#44 NY.
64802,1972-08-01 15:00:00,3/18/2014,1972,8,15,Summer,USA,United States,Arizona,Phoenix,33.4483333,-112.0733333,Disk,60.0,1:00,Saucer and tall alien who appeared in human form
64843,1978-08-01 22:00:00,9/19/2002,1978,8,22,Summer,USA,United States,Tennessee,Clarksville,36.5297222,-87.3594444,Circle,14400.0,4 hours,A sighting of a craft and alien abduction experience
64956,1998-08-01 03:00:00,8/5/2009,1998,8,3,Summer,USA,United States,Illinois,Chicago,41.85,-87.65,Light,120.0,2 minutes,Alien healing. 500 Lights On Object0: Yes
65287,1999-08-12 22:00:00,11/21/2010,1999,8,22,Summer,USA,United States,Wisconsin,Milwaukee,43.0388889,-87.9063889,Teardrop,600.0,10 minutes,Large top shaped UFO over Lake Michigan leaves 3 witnesses with  possible coverup or were cops really aliens ?
66000,2008-08-14 12:03:00,12/12/2009,2008,8,12,Summer,USA,United States,New Mexico,Torrance County,34.51994,-105.87009,Unknown,35.0,35 seconds,Whitesh Grey creature in southern new mexico&#44  ON I-10 Just east of a  a rest  stop
66193,1969-08-15 19:00:00,1/10/2009,1969,8,19,Summer,USA,United States,California,El Cajon,32.7947222,-116.9616667,Other,7.0,5-7 seconds,A creature crossed my path and ordered me not to hurt it&#44 as I was driving at the time.
66348,1988-08-15 14:00:00,5/11/2005,1988,8,14,Summer,USA,United States,New York,Walker Valley,41.6336111,-74.3783333,,3600.0,1 hour,Strange creatures in the woods near UFO hot spots
66412,1995-08-15 21:05:00,10/12/2001,1995,8,21,Summer,USA,United States,Michigan,Grand Haven,43.0630556,-86.2283333,Unknown,7200.0,1-2 hrs.,The little creatures&#44 flashing lights&#44 and test.
66886,1991-08-16 01:00:00,6/18/2004,1991,8,1,Summer,USA,United States,Arizona,Gila County,34.048928,-111.093731,Other,20.0,20 seconds,the alien stood there in a form I could be comfortable with while looking at him.
67373,1998-08-18 20:30:00,11/1/1998,1998,8,20,Summer,USA,United States,Nevada,Dayton,39.2372222,-119.5919444,Egg,900.0,15 min,In the evening playing with my daughter&#44 back door blinds were open. My daughter SCREAMED &#39LOOK DADDY LOOK&#44 ALIENS&#39(She&#39s only 3 1/2.)
67529,2012-08-18 12:43:00,9/24/2012,2012,8,12,Summer,USA,United States,Arizona,Tempe,33.4147222,-111.9086111,Diamond,180.0,3 minutes,Photos of an unknown creature resembling both an amphibian and an armadillo who is seen holding a wand in his left hand at the end of w
67619,1996-08-19 22:30:00,8/16/2002,1996,8,22,Summer,USA,United States,South Dakota,Spencer,43.7275,-97.5927778,Unknown,1320.0,22 minutes,Alien crafts-Eastern South Dakota- late summer early fall 1996
68094,2006-08-20 23:00:00,3/19/2009,2006,8,23,Summer,USA,United States,New York,Hamlin,43.3030556,-77.9213889,Unknown,10.0,5-10 seconds,alien Being sighted in Hamlin&#44 NY
68690,2013-08-02 01:00:00,9/30/2013,2013,8,1,Summer,USA,United States,Virginia,Roanoke,37.2708333,-79.9416667,Other,120.0,2 minutes,Short 3 foot alien seen near creek in Roanoke&#44 VA.
68962,1996-08-23 01:00:00,7/26/2002,1996,8,1,Summer,CAN,Canada,Ontario,North Middlesex,43.128739,-81.483506,Unknown,219300.0,several months,Alien abduction and several visitations
69174,1970-08-24 23:50:00,12/12/2009,1970,8,23,Summer,USA,United States,New Jersey,Toms River,39.9536111,-74.1983333,Sphere,600.0,ten minutes,Sphere hovered over neighbors house; possible entity sighting. 500 Lights On Object0: Yes
69214,2002-08-24 12:00:00,8/28/2002,2002,8,12,Summer,USA,United States,Tennessee,Sparta,35.9258333,-85.4641667,Circle,180.0,3 minutes,Message: beauty of the flesh creates power  this is aliens addiction and our mystery&#44 why we are alone.
70121,2013-08-27 22:50:00,8/30/2013,2013,8,22,Summer,USA,United States,New Jersey,Somerset,40.4975,-74.4888889,Other,2.0,few seconds,((HOAX??)) Alien spotted.
70208,2003-08-28 23:00:00,9/28/2003,2003,8,23,Summer,CAN,Canada,Manitoba,Lake Francis,50.413532,-97.940939,Unknown,120.0,several minutes,HBCCUFO CANADIAN REPORT:  St. Laurent&#44 Manitoba&#44 Lights And Creature.
71200,2010-08-03 18:00:00,8/24/2010,2010,8,18,Summer,USA,United States,Missouri,Osage Beach,38.1502778,-92.6177778,Fireball,2700.0,45 minutes,Very UNUSUAL lens reflection&#44 atmospheric conditions or alien ball of light/fire
71335,2002-08-04 05:30:00,2/14/2006,2002,8,5,Summer,USA,United States,Pennsylvania,Northumberland,40.8916667,-76.7977778,Disk,1200.0,20 min.,I will be as brief as possible&#44A man named Todd Sees&#44 was abducted and murdered by aliens on Montour Ridge &#44in Northumberland County&#44 n
72880,2005-09-10 12:00:00,10/11/2005,2005,9,12,Autumn,THA,Thailand,Lampang Province,Ban Tor,18.141982,99.428349,Unknown,120.0,several minutes,Several people in Mae Chang (Chiang Mai&#44 Northern Thailand) witnessed a strange creature.
73380,1986-09-01 20:00:00,8/21/2011,1986,9,20,Autumn,USA,United States,Virginia,Virginia Beach,36.8527778,-75.9783333,Unknown,300.0,5 min,Two creatures or aliens in Bay Colony&#44 no UFO.
73413,1994-09-01 11:00:00,7/3/2013,1994,9,11,Autumn,USA,United States,Oregon,Grants Pass,42.4391667,-123.3272222,Changing,43200.0,12 hours,Thought of as a Dream for 20 Years&#44 Recent Information Convinced me that Iv been Abducted by Aliens.
73566,2004-09-01 02:30:00,10/30/2006,2004,9,2,Autumn,USA,United States,New York,New York,40.7141667,-74.0063889,,120.0,2 mins,bluish light and alien encounter
73630,2007-09-01 19:00:00,10/8/2007,2007,9,19,Autumn,USA,United States,Wisconsin,Oconomowoc,43.111673,-88.499266,Disk,60.0,first 1 mintue and second,Two Alien Space Crafts over Dodgeville and Oconomowoc
73631,2007-09-01 19:00:00,11/28/2007,2007,9,19,Autumn,USA,United States,Texas,Mesquite,32.7666667,-96.5988889,Other,60.0,60 seconds,Alien face observes man from behind in his house.
74703,1997-09-15 20:00:00,7/28/2010,1997,9,20,Autumn,USA,United States,Washington,Bellevue,47.6105556,-122.1994444,,3600.0,1 hour,Phone call from a purported alien living on earth willing to share his views re: himself and our civ..  ((NUFORC Note:  See Note.  PD))
74753,2000-09-15 02:00:00,12/12/2013,2000,9,2,Autumn,USA,United States,Oklahoma,Duncan,34.5022222,-97.9575,Other,5.0,5 seconds,Close encounter of the third kind - small blue &#39gray&#39 type alien.
75017,2013-09-15 02:00:00,3/18/2014,2013,9,2,Autumn,NOR,Norway,Viken,Kirkebygden,59.494638,10.839743,,15.0,15 seconds,Unidentified entity/being&#44 walking on a small island; disappears.
75544,2005-09-18 21:30:00,10/11/2005,2005,9,21,Autumn,USA,United States,New Jersey,Collings Lakes,39.5955556,-74.8819444,Other,20.0,20 seconds,not a UFO&#44 but what I believe to be an actual alien in my wooded backyard.
76120,2005-09-20 03:00:00,10/11/2005,2005,9,3,Autumn,AUS,Australia,New South Wales,Ulladulla,-35.359058,150.472473,Fireball,600.0,10 minutes,((NUFORC Note:  Hoax.  Note date indicated by source.  PD))  Theres alien&#39s in the woods near my house.
76436,2010-09-21 02:00:00,11/21/2010,2010,9,2,Autumn,USA,United States,Missouri,Butler,38.2538,-94.3356,Unknown,300.0,5 minute,Alien like figures seen near and on buildings of our town square along with many yellow lights overhead.
76597,2002-09-02 00:00:00,9/2/2005,2002,9,0,Autumn,USA,United States,Illinois,Chicago,41.85,-87.65,,600.0,ten minutes,UFO observation and alien visit
76703,2009-09-02 20:00:00,12/12/2009,2009,9,20,Autumn,USA,United States,Missouri,Butler,38.2538,-94.3356,Unknown,7200.0,2 hours,Was it an Alien?
77228,2008-09-23 16:12:00,10/31/2008,2008,9,16,Autumn,CAN,Canada,British Columbia,Quesnel,52.983333,-122.483333,Circle,300.0,5 min,BRIGHT GREEN ENTITY SEEN IN SKY OVER QUESNEL AT 16:12 09/23/2008.
77290,2012-09-23 21:00:00,10/30/2012,2012,9,21,Autumn,USA,United States,Oklahoma,Owasso,36.2694444,-95.8544444,Cross,120.0,1-2 minutes,Before last night&#44 I always shook my head and thought everyone who told a UfO/alien story was silly and ridiculous.
77329,1995-09-24 20:00:00,1/19/2005,1995,9,20,Autumn,USA,United States,Florida,Kissimmee,28.2916667,-81.4077778,Disk,600.0,10 min,green glowing disk with lizard like creatures.
78777,2010-09-30 21:00:00,11/21/2010,2010,9,21,Autumn,USA,United States,Tennessee,Nashville,36.163287,-86.782412,Disk,15.0,15 seconds,U.F.O caught on Camera - Alien or man made..this thing was incredible.
78792,2011-09-30 20:30:00,10/10/2011,2011,9,20,Autumn,USA,United States,New Jersey,Townsends Inlet,39.1533333,-74.6933333,Unknown,300.0,5 minutes,Single Flame like entity  traveling north easterly  viewd by one individual.
78916,2005-09-03 23:00:00,11/21/2010,2005,9,23,Autumn,USA,United States,Wisconsin,Pelican Lake,45.4994444,-89.1666667,Oval,10800.0,3 hours,Three-Hour UFO Sighting Accompanied By:  A Beam Of Light - A Nosey Helicopter - And A Creature&#44
79912,2002-09-08 03:20:00,9/13/2002,2002,9,3,Autumn,USA,United States,New York,Accord,41.7855556,-74.2294444,Light,120.0,2 minutes,3 bright UFO over ulster county-Aliens at the Art Farm
